Fecha,Compra
03Ene00,3.51
04Ene00,3.522
05Ene00,3.513
06Ene00,3.502
07Ene00,3.511
10Ene00,3.507
11Ene00,3.505
12Ene00,3.507
13Ene00,3.503
14Ene00,3.491
17Ene00,3.484
18Ene00,3.487
19Ene00,3.495
20Ene00,3.501
21Ene00,3.496
24Ene00,3.492
25Ene00,3.488
26Ene00,3.49
27Ene00,3.476
28Ene00,3.475
31Ene00,3.489
1-Feb-00,3.47
2-Feb-00,3.472
3-Feb-00,3.47
4-Feb-00,3.477
7-Feb-00,3.471
8-Feb-00,3.459
9-Feb-00,3.448
10-Feb-00,3.441
11-Feb-00,3.442
14-Feb-00,3.434
15-Feb-00,3.427
16-Feb-00,3.44
17-Feb-00,3.433
18-Feb-00,3.442
21-Feb-00,3.457
22-Feb-00,3.461
23-Feb-00,3.457
24-Feb-00,3.465
25-Feb-00,3.465
28-Feb-00,3.46
29-Feb-00,3.447
1-Mar-00,3.413
2-Mar-00,3.409
3-Mar-00,3.402
6-Mar-00,3.408
7-Mar-00,3.408
8-Mar-00,3.397
9-Mar-00,3.401
10-Mar-00,3.416
13-Mar-00,3.421
14-Mar-00,3.412
15-Mar-00,3.419
16-Mar-00,3.434
17-Mar-00,3.431
20-Mar-00,3.443
21-Mar-00,3.449
22-Mar-00,3.466
23-Mar-00,3.487
24-Mar-00,3.501
27-Mar-00,3.503
28-Mar-00,3.475
29-Mar-00,3.473
30-Mar-00,3.487
31-Mar-00,3.484
03Abr00,3.471
04Abr00,3.475
05Abr00,3.476
06Abr00,3.487
07Abr00,3.509
10Abr00,3.483
11Abr00,3.483
12Abr00,3.481
13Abr00,3.461
14Abr00,3.465
17Abr00,3.471
18Abr00,3.472
19Abr00,3.465
20Abr00,n.d.
21Abr00,n.d.
24Abr00,3.476
25Abr00,3.474
26Abr00,3.484
27Abr00,3.478
28Abr00,3.476
1-May-00,n.d.
2-May-00,3.475
3-May-00,3.482
4-May-00,3.485
5-May-00,3.489
8-May-00,3.498
9-May-00,3.501
10-May-00,3.51
11-May-00,3.501
12-May-00,3.495
15-May-00,3.498
16-May-00,3.499
17-May-00,3.501
18-May-00,3.501
19-May-00,3.508
22-May-00,3.511
23-May-00,3.515
24-May-00,3.509
25-May-00,3.51
26-May-00,3.52
