Fecha,Venta
03Ene00,3.516
04Ene00,3.527
05Ene00,3.52
06Ene00,3.508
07Ene00,3.513
10Ene00,3.511
11Ene00,3.508
12Ene00,3.509
13Ene00,3.507
14Ene00,3.494
17Ene00,3.487
18Ene00,3.492
19Ene00,3.498
20Ene00,3.505
21Ene00,3.5
24Ene00,3.497
25Ene00,3.493
26Ene00,3.495
27Ene00,3.481
28Ene00,3.48
31Ene00,3.492
1-Feb-00,3.472
2-Feb-00,3.474
3-Feb-00,3.472
4-Feb-00,3.479
7-Feb-00,3.475
8-Feb-00,3.463
9-Feb-00,3.451
10-Feb-00,3.445
11-Feb-00,3.447
14-Feb-00,3.439
15-Feb-00,3.431
16-Feb-00,3.443
17-Feb-00,3.437
18-Feb-00,3.445
21-Feb-00,3.46
22-Feb-00,3.465
23-Feb-00,3.46
24-Feb-00,3.469
25-Feb-00,3.47
28-Feb-00,3.462
29-Feb-00,3.453
1-Mar-00,3.421
2-Mar-00,3.413
3-Mar-00,3.406
6-Mar-00,3.413
7-Mar-00,3.413
8-Mar-00,3.402
9-Mar-00,3.404
10-Mar-00,3.42
13-Mar-00,3.425
14-Mar-00,3.418
15-Mar-00,3.422
16-Mar-00,3.436
17-Mar-00,3.435
20-Mar-00,3.448
21-Mar-00,3.454
22-Mar-00,3.469
23-Mar-00,3.49
24-Mar-00,3.504
27-Mar-00,3.508
28-Mar-00,3.477
29-Mar-00,3.478
30-Mar-00,3.489
31-Mar-00,3.488
03Abr00,3.476
04Abr00,3.478
05Abr00,3.478
06Abr00,3.49
07Abr00,3.512
10Abr00,3.485
11Abr00,3.491
12Abr00,3.484
13Abr00,3.463
14Abr00,3.47
17Abr00,3.476
18Abr00,3.475
19Abr00,3.469
20Abr00,n.d.
21Abr00,n.d.
24Abr00,3.48
25Abr00,3.478
26Abr00,3.487
27Abr00,3.482
28Abr00,3.479
1-May-00,n.d.
2-May-00,3.478
3-May-00,3.488
4-May-00,3.488
5-May-00,3.492
8-May-00,3.502
9-May-00,3.507
10-May-00,3.513
11-May-00,3.503
12-May-00,3.499
15-May-00,3.503
16-May-00,3.504
17-May-00,3.503
18-May-00,3.503
19-May-00,3.512
22-May-00,3.513
23-May-00,3.518
24-May-00,3.512
25-May-00,3.513
26-May-00,3.525
29-May-00,3.512
30-May-00,3.518
31-May-00,3.507
1-Jun-00,3.494
2-Jun-00,3.49
5-Jun-00,3.491
6-Jun-00,3.49
7-Jun-00,3.486
8-Jun-00,3.488
9-Jun-00,3.481
12-Jun-00,3.482
13-Jun-00,3.486
14-Jun-00,3.482
15-Jun-00,3.48
16-Jun-00,3.48
19-Jun-00,3.484
20-Jun-00,3.487
21-Jun-00,3.491
22-Jun-00,3.493
23-Jun-00,3.495
26-Jun-00,3.499
27-Jun-00,3.499
28-Jun-00,3.493
29-Jun-00,n.d.
30-Jun-00,3.492
3-Jul-00,3.485
